run_id,ingest_mode,started_at,finished_at,result,stock_code,source_name,source_type,api_name,manifest_rows_created,manifest_rows_updated,metric_candidates,claim_candidates,issues,notes
ingest_official_002837_2cbfc5,official_disclosure_search,2026-07-11T16:47:45Z,2026-07-11T16:47:45Z,SUCCESS,002837,cninfo,annual_report,,1,0,0,0,,official disclosure registered; parse later before material claims
ingest_official_002837_47054e,official_disclosure_search,2026-07-11T16:47:52Z,2026-07-11T16:47:53Z,SUCCESS,002837,cninfo,interim_report,,1,0,0,0,,official disclosure registered; parse later before material claims
ingest_official_002837_2f00c7,official_disclosure_search,2026-07-11T16:48:00Z,2026-07-11T16:48:00Z,SUCCESS,002837,szse,quarterly_report,,1,0,0,0,,official disclosure registered; parse later before material claims
ingest_tushare_daily_basic_002837_eb0c080a,tushare_live_reviewed_snapshot,2026-07-11T17:31:01Z,2026-07-11T17:31:01Z,SUCCESS,002837,tushare,structured_market_data,daily_basic,1,0,25,0,,same-date unit-safe market/peer snapshot; token not stored
ingest_bundle8_caict_59947f,url_file,2026-07-12T16:01:05Z,2026-07-12T16:01:05Z,SUCCESS,,industry_report,third_party_research,,1,0,0,0,,official CAICT PDF archived; 69 pages extracted; key pages visually reviewed; registry promotion recorded by quality review
ingest_bundle8_ndrc_30d310,url_file,2026-07-12T16:01:05Z,2026-07-12T16:01:05Z,SUCCESS,,policy_document,policy_document,,1,0,0,0,,official government PDF archived; 7 pages extracted; PUE/utilization and multi-route cooling statements visually reviewed
ingest_structured_002837_daily_basic_f8cc52,structured_api_pull,2026-07-12T17:38:34Z,2026-07-12T17:38:34Z,SUCCESS,002837,tushare,structured_market_data,daily_basic,1,0,56,0,,offline-capable structured snapshot ingest
ingest_structured_002837_income_38e6e4,structured_api_pull,2026-07-12T17:39:32Z,2026-07-12T17:39:32Z,SUCCESS,002837,tushare,structured_financial_data,income,1,0,80,0,,offline-capable structured snapshot ingest
ingest_structured_002837_balancesheet_88750f,structured_api_pull,2026-07-12T17:39:36Z,2026-07-12T17:39:36Z,SUCCESS,002837,tushare,structured_financial_data,balancesheet,1,0,78,0,,offline-capable structured snapshot ingest
ingest_structured_002837_cashflow_f83c33,structured_api_pull,2026-07-12T17:39:39Z,2026-07-12T17:39:39Z,SUCCESS,002837,tushare,structured_financial_data,cashflow,1,0,56,0,,offline-capable structured snapshot ingest
ingest_structured_002837_fina_indicator_45c65f,structured_api_pull,2026-07-12T17:39:42Z,2026-07-12T17:39:42Z,SUCCESS,002837,tushare,structured_financial_data,fina_indicator,1,0,60,0,,offline-capable structured snapshot ingest
ingest_structured_002837_fina_mainbz_5b29e7,structured_api_pull,2026-07-12T17:39:45Z,2026-07-12T17:39:45Z,SUCCESS,002837,tushare,structured_financial_data,fina_mainbz,1,0,103,0,,offline-capable structured snapshot ingest
ingest_structured_002837_daily_66cd61,structured_api_pull,2026-07-12T17:39:48Z,2026-07-12T17:39:48Z,SUCCESS,002837,tushare,structured_market_data,daily,1,0,2250,0,,offline-capable structured snapshot ingest
ingest_structured_002837_query_history_k_data_plus_3145e0,structured_api_pull,2026-07-12T17:41:17Z,2026-07-12T17:41:17Z,SUCCESS,002837,baostock,structured_market_data,query_history_k_data_plus,1,0,3000,0,,offline-capable structured snapshot ingest
ingest_structured_002837_query_profit_data_4bdf72,structured_api_pull,2026-07-12T17:41:47Z,2026-07-12T17:41:47Z,SUCCESS,002837,baostock,structured_financial_data,query_profit_data,1,0,7,0,,offline-capable structured snapshot ingest
ingest_structured_002837_query_balance_data_cdf5ef,structured_api_pull,2026-07-12T17:41:58Z,2026-07-12T17:41:58Z,SUCCESS,002837,baostock,structured_financial_data,query_balance_data,1,0,6,0,,offline-capable structured snapshot ingest
ingest_structured_002837_query_cash_flow_data_6a6186,structured_api_pull,2026-07-12T17:42:07Z,2026-07-12T17:42:07Z,SUCCESS,002837,baostock,structured_financial_data,query_cash_flow_data,1,0,7,0,,offline-capable structured snapshot ingest
ingest_structured_002837_query_dupont_data_65b0e2,structured_api_pull,2026-07-12T17:42:16Z,2026-07-12T17:42:16Z,SUCCESS,002837,baostock,structured_financial_data,query_dupont_data,1,0,8,0,,offline-capable structured snapshot ingest
ingest_official_002837_108da3,official_disclosure_search,2026-07-12T17:44:09Z,2026-07-12T17:44:09Z,SUCCESS,002837,cninfo,official_disclosure,,1,0,0,0,,official disclosure registered; parse later before material claims
ingest_official_002837_797533,official_disclosure_search,2026-07-12T17:46:57Z,2026-07-12T17:46:57Z,SUCCESS,002837,cninfo,official_disclosure,,1,0,0,0,,official disclosure registered; parse later before material claims
ingest_structured_300499_income_d68c27,structured_api_pull,2026-07-12T18:08:16Z,2026-07-12T18:08:16Z,SUCCESS,300499,tushare,structured_financial_data,income,1,0,354,0,,offline-capable structured snapshot ingest
ingest_structured_300499_balancesheet_75d3a7,structured_api_pull,2026-07-12T18:08:19Z,2026-07-12T18:08:19Z,SUCCESS,300499,tushare,structured_financial_data,balancesheet,1,0,638,0,,offline-capable structured snapshot ingest
ingest_structured_300499_cashflow_fb30a9,structured_api_pull,2026-07-12T18:08:21Z,2026-07-12T18:08:21Z,SUCCESS,300499,tushare,structured_financial_data,cashflow,1,0,621,0,,offline-capable structured snapshot ingest
ingest_structured_300499_fina_indicator_275338,structured_api_pull,2026-07-12T18:08:23Z,2026-07-12T18:08:23Z,SUCCESS,300499,tushare,structured_financial_data,fina_indicator,1,0,1030,0,,offline-capable structured snapshot ingest
