issue_id,severity,stage,target_artifact,description,fix_owner_skill,status,created_at,resolved_at,notes
Q002837-001,high,T1 Company Evidence,evidence_manifest_delta.csv,Annual report locator missing,evidence-ingest,fixed,2026-07-03,2026-07-03,page_map/parse_log/claim locators generated
Q002837-002,high,T6 Exposure Mapping,segment_exposure.yaml,Segment exposure unsupported,segment-company-mapping,fixed,2026-07-03,2026-07-03,product exposure supported by reviewed claims; revenue/profit exposure remains MISSING
Q002837-003,medium,T2 Business & Financial Skeleton,metrics_draft_delta.csv,Metric candidates remained draft,evidence-ingest,fixed,2026-07-03,2026-07-03,262 workflow-local metrics promoted
Q002837-004,medium,T7 Stock Report Draft,stock_report_draft.md,Skeletal report draft,stock-deep-dive,fixed,2026-07-03,2026-07-03,stock_report_sample_quality_draft.md generated
Q002837-005,low,T8 Backflow,exposure_change_note.md,Backflow decision incomplete,maintenance,fixed,2026-07-03,2026-07-03,backflow_decision.yaml explicit
GAP002837-001,low,T10 Maintenance,evidence_gap_requests.yaml,Liquid cooling revenue pct and gross margin remain missing,evidence-ingest,accepted_todo,2026-07-03,,MISSING_DISCLOSURE kept visible
ENV002837-001,low,T2 Parser,data/processed/logs/ev_annual_report_002837_20260421_ce7f64_parse_log.json,MinerU CLI returned non-zero during client-side output generation,evidence-ingest,accepted_todo,2026-07-03,,pypdf fallback produced complete locator outputs
P2-BLOCK-001,medium,R4 official reconciliation review,official_reconciliation_review_decision.csv,Official reconciliation mismatch rows reviewed with no structured promotion.,quality-review,resolved_review_completed,2026-07-03,2026-07-03,"All mismatch, official_missing and structured_missing rows have review decisions."
P2-BLOCK-002,medium,R4 liquid cooling exposure review,liquid_cooling_exposure_evidence_review.csv,Liquid-cooling revenue and profit disclosure remain missing but visible.,evidence-ingest,accepted_disclosure_todo,2026-07-03,,Product clues support product exposure only; revenue_pct and profit_pct stay MISSING_DISCLOSURE.
P2-BLOCK-003,medium,R4 segment-stock backflow review,exposure_backflow_review.yaml,Product exposure note/evidence can update global registry without revenue or profit promotion.,segment-company-mapping,resolved_product_only_update,2026-07-03,2026-07-03,Global exposure and company universe keep revenue_pct/profit_pct missing.
P2-BLOCK-004,low,Manual live smoke,docs/playbooks/MANUAL_LIVE_DATA_SMOKE_PLAYBOOK.md,Manual live smoke remains optional and was not executed in this run.,evidence-ingest,accepted_todo,2026-07-03,,Not required for R4 disclosure/backflow review.
R5Q-B7-A823A644,medium,T8_report_draft,reader_report.md,han_chars=2334; required=3200,memo-writer,open,2026-07-12,,Generated by R5_READER_QUALITY_V2; source_code=reader_report_below_research_density_floor
R5Q-B7-0BF5FA3E,medium,T5_analysis_pack_build,thesis_tree.yaml,complete=0; required=7; complete_sections=,stock-deep-dive,open,2026-07-12,,Generated by R5_READER_QUALITY_V2; source_code=insufficient_analytical_unit_coverage
R5Q-B7-44F6297D,medium,T2_evidence_acquire_parse,evidence_coverage_matrix.yaml,independent_sources=1; required=2,evidence-ingest,open,2026-07-12,,Generated by R5_READER_QUALITY_V2; source_code=independent_research_evidence_below_minimum
R5Q-B7-8E0E9760,medium,T5_analysis_pack_build,industry_evidence_pack.yaml,no independent industry underlying source,segment-research,open,2026-07-12,,Generated by R5_READER_QUALITY_V2; source_code=independent_industry_evidence_missing
R5Q-B7-E54AC257,medium,T2_evidence_acquire_parse,evidence_coverage_matrix.yaml,no peer evidence source and fewer than three credible peers,evidence-ingest,open,2026-07-12,,Generated by R5_READER_QUALITY_V2; source_code=peer_operating_evidence_missing
R5Q-B7-EDEA2DF6,medium,T6_forecast_valuation_model,segment_forecast_model.yaml,forecast drivers remain company-total/mechanical,stock-deep-dive,open,2026-07-12,,Generated by R5_READER_QUALITY_V2; source_code=forecast_not_bottom_up_or_segment_driven
R5Q-B7-FC4A9CE0,medium,T6_forecast_valuation_model,segment_forecast_model.yaml,tax/finance/other/minority are not separately modeled,stock-deep-dive,open,2026-07-12,,Generated by R5_READER_QUALITY_V2; source_code=forecast_bridge_uses_aggregate_residual
R5Q-B7-5F606C21,medium,RP6_valuation,reverse_valuation.yaml,no reverse valuation or bull/base/bear value range,company-valuation,open,2026-07-12,,Generated by R5_READER_QUALITY_V2; source_code=valuation_lacks_reverse_or_scenario_value_range
R5Q-B7-47122D56,medium,RP6_valuation,reverse_valuation.yaml,credible_peers=0,company-valuation,open,2026-07-12,,Generated by R5_READER_QUALITY_V2; source_code=credible_peer_context_below_minimum
R5Q-B7-0B636DD2,medium,T7_technical_sentiment_event_pack,technical_snapshot.yaml,no reviewed technical-series analysis in reader report,stock-deep-dive,open,2026-07-12,,Generated by R5_READER_QUALITY_V2; source_code=technical_analysis_inputs_missing
R5Q-B7-E0B818E7,medium,T7_technical_sentiment_event_pack,technical_snapshot.yaml,no macro/industry/company sentiment layers,stock-deep-dive,open,2026-07-12,,Generated by R5_READER_QUALITY_V2; source_code=sentiment_analysis_inputs_missing
R5Q-B7-9A50BA49,medium,T7_technical_sentiment_event_pack,technical_snapshot.yaml,"future date, impact path, verification metric and counterevidence condition are not all present",stock-deep-dive,open,2026-07-12,,Generated by R5_READER_QUALITY_V2; source_code=catalyst_event_chain_incomplete
